internal_id,string_external_id,abundance
6881590,b0789,1.1
6882118,b1341,25.2
6882232,b1475,2.97
6883902,b3309,2603
6881517,b0708,1.45
6884256,b3678,0.279
6881088,b0220,489
6881220,b0375,0.398
6881241,b0398,0.036
6882105,b1328,0.016
6881544,b0736,18.8
6883640,b3020,8.36
6884683,b4161,58.0
6880897,b0014,2657
6883585,b2952,10.4
6884387,b3835,3.65
6883462,b2809,507
6883114,b2429,1.13
6881416,b0588,16.9
6883039,b2342,22.4
6883546,b2908,287
6884854,b4358,0.03
6882213,b1451,0.871
6881280,b0437,433
6883547,b2909,169
6882873,b2168,78.9
6882036,b1258,362
6883069,b2377,19.0
6883150,b2465,416
6884315,b3743,27.8
6884014,b3425,6.61
6882541,b1800,1.66
6884560,b4033,1.43
6882533,b1792,93.1
6883914,b3321,1951
6882202,b1440,890
6882642,b1904,8.13
6881065,b0189,105
6881196,b0346,21.6
6882689,b1959,0.62
6880959,b0080,23.7
6883394,b2739,0.437
6881995,b1212,0.324
6883897,b3304,1288
6881822,b1026,0
6882843,b2136,0.108
6883443,b2790,139
6882502,b1761,544
6884116,b3535,0
6884364,b3810,10.1
6883915,b3322,1.33
6882647,b1912,25.3
6884127,b3547,0.047
6881796,b0997,0.224
6882557,b1816,1.99
6882217,b1455,0
6881344,b0506,46.4
6884273,b3701,103
6881238,b0394,116
6883832,b3226,11.1
6884420,b3877,0
6881548,b0740,397
6883052,b2360,0.164
6881403,b0575,4.27
6881381,b0549,0
6881263,b0420,53.9
6881965,b1182,3.87
6881422,b0594,58.5
6882460,b1717,163
6882122,b1345,0.163
6881682,b0881,5.78
6881258,b0415,1116
6881645,b0844,8.25
6882334,b1589,3.26
6881912,b1121,0.007
6882133,b1357,0.007
6881063,b0187,46.8
6883695,b3078,0
6882354,b1609,1.14
6881790,b0991,0
6883246,b2561,9.85
6883645,b3025,2.41
6881976,b1193,4.54
6882433,b1690,0
6883413,b2758,0.455
6883981,b3390,171
6884764,b4252,389
6880891,b0007,0.01
6880993,b0116,1087
6882072,b1294,3.95
6881108,b0245,0.005
6881897,b1106,0.639
6884196,b3617,79.9
6880997,b0120,50.0
6882978,b2279,70.5
6882184,b1420,0
6881228,b0383,3.96
6881308,b0466,0
6883999,b3408,68.1
6882003,b1220,0.102
6881490,b0676,42.3
6881242,b0399,7.79
6884957,b4533,0
6884642,b4119,10.1
6882164,b1396,0.038
6883111,b2426,121
6884778,b4266,3.81
6881814,b1018,73.8
6882634,b1893,0
