string_external_id,abundance
YAL001C,124.510117
YAL002W,736.464618
YAL005C,268716.516
YAL007C,26271.84743
YAL008W,1923.060261
YAL009W,861.143461
YAL010C,768.102769
YAL011W,1377.330737
YAL012W,38300.98543
YAL016W,16919.42057
YAL017W,966.596862
YAL019W,6796.71319
YAL021C,2779.050022
YAL022C,216.634494
YAL023C,6512.436698
YAL024C,304.494494
YAL026C,606.198294
YAL027W,1169.430224
YAL029C,2205.345518
YAL031C,227.386371
YAL032C,1674.508609
YAL033W,2229.450427
YAL034W-A,2606.882407
YAL035W,13406.22431
YAL036C,11733.36646
YAL038W,290834.323
YAL039C,3870.074331
YAL041W,1010.900703
YAL043C,3730.671372
YAL044C,3507.958726
YAL044W-A,238.011792
YAL046C,258.915893
YAL047C,639.376549
YAL049C,1797.084034
YAL051W,92.296564
YAL053W,414.115457
YAL054C,2892.344667
YAL055W,258.915893
YAL058W,4760.162447
YAL059W,2835.839687
YAL060W,8733.01892
YAL061W,3087.986491
YAR002C-A,20675.37706
YAR002W,4590.281414
YAR003W,906.714285
YAR007C,4099.830302
YAR009C,2217.406213
YAR014C,538.409577
YAR015W,4276.968159
YAR019C,238.011792
YAR027W,1694.684899
YAR028W,1835.103835
YAR031W,258.915893
YAR044W,845.818925
YAR064W,1524.843187
YAR071W,1458.258755
YBL001C,1898.035017
YBL002W,443201.2609
YBL003C,32072.84976
YBL005W,166.392335
YBL007C,951.715802
YBL008W,845.818925
YBL010C,1322.710493
YBL011W,1054.721202
YBL013W,1069.225892
YBL014C,237.415691
YBL015W,4888.821438
YBL016W,8476.479863
YBL017C,7205.815052
YBL018C,4867.30452
YBL019W,414.115457
YBL021C,2513.888079
YBL022C,14538.97623
YBL023C,1687.046282
YBL024W,16134.33573
YBL026W,2205.345518
YBL027W,225358.6811
YBL028C,6208.754523
YBL029C-A,996.18804
YBL031W,264.074872
YBL032W,15576.28466
YBL033C,9516.673726
YBL034C,521.1317
YBL035C,11222.13057
YBL036C,4888.821438
YBL037W,1590.703824
YBL038W,2881.06604
YBL039C,57600.04077
YBL045C,19342.62189
YBL046W,1010.900703
YBL047C,1377.330737
YBL051C,4632.572128
YBL054W,830.424217
YBL055C,1458.258755
YBL056W,19673.22572
YBL057C,2193.268207
YBL058W,3198.384354
YBL059C-A,279.403257
YBL059W,622.843006
YBL061C,2583.713125
YBL063W,56.866386
YBL064C,4506.061582
YBL067C,124.510117
YBL068W,5281.104096
YBL071W-A,8399.981724
YBL072C,15947.64291
YBL074C,7327.589104
YBL075C,6441.958021
YBL076C,23281.94051
YBL078C,2010.015692
YBL079W,1564.443453
YBL080C,1390.900226
YBL084C,593.473872
YBL085W,1040.166157
YBL086C,395.628344
YBL090W,1267.516655
YBL091C,1083.681248
YBL091C-A,357.977413
YBL093C,6116.222317
YBL095W,704.480663
YBL097W,704.480663
YBL098W,555.549057
YBL099W,41519.73472
YBL101C,799.416322
YBL102W,279.403257
YBL103C,1054.721202
YBL104C,183.517076
YBL107C,768.102769
YBL111C,279.403257
YBR001C,2502.203353
YBR002C,8965.919913
YBR003W,1564.443453
YBR007C,376.921209
YBR009C,523616.444
YBR010W,213288.6024
YBR011C,68410.63035
YBR015C,6725.291721
YBR016W,1758.86078
YBR017C,2132.627524
YBR022W,1169.430224
YBR023C,1511.585725
YBR024W,1484.982463
YBR025C,36802.56824
YBR026C,1564.443453
YBR028C,1471.635869
YBR030W,7883.045269
YBR034C,37569.71143
YBR037C,2548.860755
YBR039W,28103.81771
YBR041W,16887.79588
YBR042C,2010.015692
YBR043C,279.403257
YBR047W,2156.935194
YBR048W,1197.659409
YBR049C,7514.312272
YBR052C,7060.581089
YBR053C,4194.585085
YBR054W,1948.003846
YBR055C,2253.337052
YBR056W,1960.445507
YBR057C,3400.149501
YBR058C,3037.98376
YBR059C,3004.533419
YBR060C,1696.105119
YBR061C,4112.700375
YBR062C,194.711698
YBR065C,4256.325871
YBR066C,704.480663
YBR067C,35561.50114
YBR068C,8655.808529
YBR069C,503.708466
YBR070C,338.777852
YBR071W,1197.659409
YBR072W,19342.62189
YBR073W,1267.516655
YBR077C,3486.464288
YBR079C,52745.8594
YBR080C,5924.782401
YBR081C,2360.885973
YBR082C,13479.86873
YBR083W,529.788358
YBR084C-A,97742.55789
YBR084W,11423.98381
YBR085W,1083.681248
YBR087W,5040.259907
YBR089C-A,4590.281414
YBR092C,951.715802
YBR093C,1112.447872
YBR094W,1771.624875
YBR095C,1629.891555
YBR096W,1948.003846
YBR097W,279.403257
YBR101C,13112.90071
YBR103W,1616.855581
YBR104W,1054.721202
YBR105C,6654.104514
YBR106W,61807.7694
YBR107C,124.510117
YBR110W,1885.491266
YBR111C,7327.540918
YBR112C,3890.118013
YBR114W,357.977413
YBR115C,7425.375296
YBR117C,148.811243
YBR118W,450.486391
YBR119W,2948.573282
YBR120C,2132.627524
YBR121C,98424.74495
YBR123C,15841.12736
YBR125C,148.811243
YBR126C,10895.67561
YBR127C,130501.5739
YBR129C,1564.443453
YBR130C,1010.900703
YBR131W,2869.776294
YBR133C,1183.565989
YBR135W,8784.610397
YBR137W,1197.659409
YBR138C,194.711698
YBR139W,1417.940016
YBR141C,622.843006
YBR142W,981.420509
YBR143C,13112.90071
YBR145W,1308.967217
YBR149W,30200.43654
YBR150C,572.55651
YBR151W,1997.652247
YBR152W,2513.888079
YBR155W,672.127009
YBR156C,319.300389
YBR158W,2022.360037
YBR159W,41938.17757
YBR160W,6665.95274
YBR161W,194.711698
YBR162C,12316.72502
YBR162W-A,845.818925
YBR163W,1417.940016
YBR164C,5193.121683
YBR166C,2181.174143
YBR169C,6301.716046
YBR170C,1054.721202
YBR171W,7820.703709
YBR172C,486.132248
YBR173C,2744.835938
YBR176W,1417.940016
YBR177C,2548.860755
YBR179C,1010.900703
YBR181C,38831.83634
YBR185C,2721.966881
YBR187W,2169.063186
YBR188C,1431.411266
YBR189W,63349.64497
YBR193C,936.775973
YBR195C,148.811243
YBR196C,91628.76246
YBR197C,1363.727534
YBR198C,14834.29352
YBR199W,5237.055637
YBR200W,6488.917408
YBR201W,238.011792
YBR202W,166.392335
YBR205W,704.480663
YBR207W,486.132248
YBR208C,951.715802
YBR211C,1629.891555
YBR212W,1538.071714
YBR214W,2835.839687
YBR215W,238.011792
YBR216C,3060.232559
YBR218C,16951.06359
YBR221C,9969.900784
YBR222C,8771.703701
YBR223C,2132.627524
YBR225W,622.843006
YBR227C,10868.08534
YBR229C,238.011792
YBR230C,4749.488952
YBR231C,1681.776763
YBR233W,1590.703824
YBR233W-A,468.39465
YBR237W,357.977413
YBR238C,2083.801265
YBR239C,85.528878
YBR242W,2733.407426
YBR244W,2010.015692
YBR245C,1498.298948
YBR246W,2641.539627
YBR247C,21578.12678
YBR248C,11846.50253
YBR249C,26271.84743
YBR251W,6677.807496
YBR252W,4339.080303
YBR253W,2181.174143
YBR254C,1197.659409
YBR255W,395.628344
YBR256C,7303.145229
YBR258C,1524.843187
YBR260C,1498.298948
YBR261C,3060.232559
YBR262C,2548.860755
YBR263W,17715.96078
YBR264C,1363.727534
YBR265W,7696.481883
YBR266C,338.777852
YBR267W,830.424217
YBR268W,1098.088258
YBR271W,216.634494
YBR272C,468.39465
YBR273C,2193.268207
YBR274W,2525.559159
YBR278W,783.798887
YBR279W,1040.166157
YBR281C,1935.542162
YBR282W,2253.48995
YBR283C,704.480663
YBR286W,4738.822884
YBR287W,6441.958021
YBR288C,3410.968758
YBR289W,216.634494
YBR290W,3071.341699
YBR299W,4031.317778
YCL001W,2835.839687
YCL005W,148.811243
YCL008C,1363.727534
YCL009C,15792.5809
YCL010C,1746.07334
YCL011C,2537.216686
YCL016C,1655.885285
YCL017C,503.708466
YCL024W,538.409577
YCL025C,21148.29573
YCL028W,1141.028544
YCL029C,299.519102
YCL030C,521.1317
YCL031C,2606.882407
YCL032W,1668.843656
YCL033C,799.416322
YCL035C,3026.843989
YCL037C,8425.457222
YCL039W,1197.659409
YCL040W,21114.40605
YCL044C,3410.968758
YCL045C,2835.839687
YCL047C,830.424217
YCL049C,655.803216
YCL050C,19606.96615
YCL052C,4931.943378
YCL055W,1694.684899
YCL057W,8914.000141
YCL059C,4339.080303
YCL061C,720.517291
YCL064C,36601.50517
YCR002C,14088.44039
YCR003W,1694.684899
YCR004C,14599.37886
YCR005C,2313.309473
YCR008W,1025.559692
YCR009C,7388.640295
YCR011C,338.777852
YCR012W,314024.354
YCR016W,1847.732991
YCR018C,2096.034577
YCR020C,194.711698
YCR020C-A,2144.790022
YCR020W-B,3553.78712
YCR021C,7795.810069
YCR024C,783.798887
YCR024C-A,123764.9486
YCR026C,3421.779388
YCR027C,1603.793112
YCR028C-A,3060.232559
YCR030C,4276.968159
YCR031C,29596.64263
YCR033W,395.628344
YCR034W,3507.958726
YCR035C,3181.886481
YCR036W,1784.365878
YCR037C,503.708466
YCR038C,2108.249954
YCR042C,1155.251341
YCR043C,4235.714558
YCR044C,3049.113264
YCR046C,4153.580202
YCR047C,1616.855581
YCR051W,783.798887
YCR052W,2474.93209
YCR053W,26000.37041
YCR054C,8965.919913
YCR057C,16650.55818
YCR059C,3026.843989
YCR060W,1655.885285
YCR063W,1898.035017
YCR065W,357.977413
YCR066W,205.746596
YCR068W,3060.232559
YCR071C,1707.568347
YCR073C,56.866386
YCR073W-A,1155.251341
YCR076C,357.977413
YCR077C,655.803216
YCR079W,432.397164
YCR081W,1733.262297
YCR082W,981.420509
YCR083W,1010.900703
YCR084C,5841.226393
YCR086W,1923.060261
YCR087C-A,3432.581433
YCR088W,606.198294
YCR090C,3970.612643
YCR092C,736.464618
YCR093W,4297.641365
YCR094W,589.437791
YCR095C,5369.543076
YCR105W,2869.776294
YDL001W,951.715802
YDL002C,1758.86078
YDL003W,1041.493285
YDL005C,10785.44473
YDL006W,1524.843187
YDL008W,376.921209
YDL010W,1642.901353
YDL012C,2253.48995
YDL015C,23596.90299
YDL017W,1600.228597
YDL018C,3192.887447
YDL019C,1069.225892
YDL021W,2022.360037
YDL022W,807.196256
YDL025C,861.143461
YDL027C,450.486391
YDL029W,6654.104514
YDL030W,3917.632904
YDL033C,1511.585725
YDL036C,639.376549
YDL040C,7597.549342
YDL042C,3345.922367
YDL043C,3464.936461
YDL044C,2059.280198
YDL045W-A,258.915893
YDL046W,2835.839687
YDL047W,3970.612643
YDL048C,622.843006
YDL053C,1564.443453
YDL055C,97062.38497
YDL056W,521.1317
YDL058W,2325.226499
YDL059C,468.39465
YDL060W,1390.900226
YDL061C,5413.932878
YDL063C,2595.30427
YDL064W,2595.30427
YDL065C,5347.390686
YDL067C,35501.78491
YDL069C,555.549057
YDL070W,2926.114486
YDL072C,2835.839687
YDL074C,2982.181094
YDL076C,3060.232559
YDL077C,319.300389
YDL078C,3302.381076
YDL080C,2144.790022
YDL082W,133101.1188
YDL084W,51687.41119
YDL085C-A,876.399694
YDL087C,2265.485518
YDL088C,2744.835938
YDL089W,606.198294
YDL090C,3910.193747
YDL091C,232.714339
YDL092W,7995.645699
YDL095W,41519.73472
YDL097C,16761.48064
YDL098C,906.714285
YDL099W,5215.074324
YDL100C,17332.20464
YDL101C,3475.704567
YDL103C,5480.729474
YDL104C,1404.436492
YDL106C,6418.517997
YDL107W,736.464618
YDL108W,4401.469188
